Player,Rk,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,Q,pop,prob_pts,team_full
Warren Foegele,255,22,CAR,LW,77,10,5,15,-17,20,0.4,10,0,0,3,5,0,0,106,9.4,962,12:30,19,126,10,11,47.6,0.19480519480519481,0.9166666666666666,0.17857142857142858,Carolina Hurricanes
Pierre-Edouard Bellemare,48,33,VEG,LW,76,6,9,15,2,6,0.7,4,0,2,0,9,0,0,108,5.6,945,12:26,51,71,393,326,54.7,0.19736842105263158,0.9047619047619048,0.17857142857142858,Vegas Golden Knights
Matt Martin,542,29,NYI,LW,67,6,8,14,5,53,1.0,6,0,0,1,8,0,0,62,9.7,766,11:26,42,275,6,9,40.0,0.208955223880597,0.7976190476190477,0.16666666666666669,New York Islanders
Frederik Gauthier,286,23,TOR,C,70,3,11,14,3,12,0.7,3,0,0,0,11,0,0,46,6.5,586,8:22,28,98,240,207,53.7,0.2,0.8333333333333334,0.16666666666666669,Toronto Maple Leafs
Noel Acciari,4,27,BOS,C,72,6,8,14,-3,47,0.4,6,0,0,2,8,0,0,99,6.1,935,12:59,36,221,200,203,49.6,0.19444444444444445,0.8571428571428571,0.16666666666666666,Boston Bruins
Brandon Dubinsky,210,32,CBJ,C,61,6,8,14,-16,36,0.2,6,0,0,0,7,0,1,63,9.5,754,12:21,28,147,427,321,57.1,0.22950819672131148,0.7261904761904762,0.16666666666666666,Columbus Blue Jackets
Rocco Grimaldi,319,25,NSH,C,53,5,8,13,-2,10,0.9,5,0,0,0,8,0,0,81,6.2,530,10:00,20,32,4,3,57.1,0.24528301886792453,0.6309523809523809,0.15476190476190477,Nashville Predators
Andrew Mangiapane,530,22,CGY,LW,44,8,5,13,11,12,1.6,8,0,0,1,5,0,0,65,12.3,464,10:33,17,43,6,3,66.7,0.29545454545454547,0.5238095238095238,0.15476190476190477,Calgary Flames
Joakim Nordstrom,610,26,BOS,C,70,7,5,12,0,13,0.4,7,0,0,3,5,0,0,103,6.8,944,13:29,52,86,48,77,38.4,0.17142857142857143,0.8333333333333334,0.14285714285714288,Boston Bruins
Riley Nash,593,29,CBJ,C,78,3,9,12,-8,19,-0.2,3,0,0,1,9,0,0,79,3.8,846,10:50,43,72,150,183,45.0,0.15384615384615385,0.9285714285714286,0.14285714285714288,Columbus Blue Jackets
